PF-07-066-01-LIB,Cited by: 11  Impact Factor: 5.621
RSG-11-057-01-LIB,Cited by: 6  Impact Factor: -
RPG-98-050-01-CSM,Cited by: 109  Impact Factor: 10.822
RPG-00-307-01-TBE,Cited by: 28  Impact Factor: 5.87
RSG-06-039-01-GMC,Cited by: 0  Impact Factor: 3.02
PTAPM-97-185-04,Cited by: 53  Impact Factor: 2.08
RSG-12-131-01-CCG,Cited by: 4  Impact Factor: 11.902
RSG-06-209-01-LR,Cited by: 157  Impact Factor: 5.87
RSG-08-148-01-CPPB,Cited by: 3  Impact Factor: -
RPG-92-014-05,Cited by: 108  Impact Factor: 10.822
IRG 85-001-22,Cited by: 5  Impact Factor: 2.464,Cited by: 2  Impact Factor: 6.636
MRSGT-05-214-01-CPPB,Cited by: 17  Impact Factor: 2.761
RSG-02-179-MGO to AMC,Cited by: 25  Impact Factor: 5.082
RPG-00-339,Cited by: 52  Impact Factor: 2
RPG-93-013-05,Cited by: 111  Impact Factor: 10.822
PF0711401,Cited by: 111  Impact Factor: 10.822
RPG-98-273-01-TBE,Cited by: 91  Impact Factor: 13.214
RSG-10-188-01-TBE,Cited by: 2  Impact Factor: 6.23
TURSG-02-068-01-PBP,Cited by: 25  Impact Factor: 3.33
PF-4198,Cited by: 179  Impact Factor: 10.822
RSGT-07-011-01-CPHPS,Cited by: 0  Impact Factor: -
RPG-98-046-CCG,Cited by: 125  Impact Factor: 10.822
AC-04-02,Cited by: 377  Impact Factor: 13.214
RSG-06-110-01,Cited by: 0  Impact Factor: -
RSG-04-220-01-CCE,Cited by: 26  Impact Factor: 5.87
RSGHP PBP-105710,Cited by: 26  Impact Factor: 4.9427
PF-99-336-01-CIM,Cited by: 260  Impact Factor: 10.822,Cited by: 184  Impact Factor: 10.822
RSG-02-173-01-LIB,Cited by: 36  Impact Factor: 5.13
PF-3608,Cited by: 185  Impact Factor: 10.822
CB-106,Cited by: 81  Impact Factor: 10.822
PF-05-121-01-DDC,Cited by: 25  Impact Factor: 8.278
RPG-95-027-04,Cited by: 3  Impact Factor: 13.214
TURSG-03-152-01-CCE,Cited by: 19  Impact Factor: 2.062
IRG-85-001-19,Cited by: 34  Impact Factor: 7.357
RSG-12-230-01-TBG,Cited by: 7  Impact Factor: 2.464
RSG-05-137-01-MCB,Cited by: 71  Impact Factor: 8.278
PF-10-015-01-CDD,Cited by: 6  Impact Factor: 6.142
PF-01-236-01-GMC,Cited by: 55  Impact Factor: 11.902
RSG-05-118-01-CSM,Cited by: 223  Impact Factor: 3.972
IRG-91-022-09,Cited by: 9  Impact Factor: 3.02,Cited by: 4  Impact Factor: 1.776,Cited by: 5  Impact Factor: 3.33,Cited by: 6  Impact Factor: 3.33
PF-09-124-01-DDC,Cited by: 35  Impact Factor: 38.597
RSG-08-137-01-CNE,Cited by: 10  Impact Factor: 7.357
RPG-98-109-TBE,Cited by: 435  Impact Factor: 10.822
RSG-07-183-01-DDC,Cited by: 318  Impact Factor: 7.524,Cited by: 40  Impact Factor: 7.357,Cited by: 78  Impact Factor: 7.357
RSG-05-037-01-CCE,Cited by: 52  Impact Factor: 5.082
RSG-12-144-01-CCE,Cited by: 4  Impact Factor: -
RPG-98-076-01-GMC,Cited by: 156  Impact Factor: 10.822
MRSG-06-193-01-TBE,Cited by: 10  Impact Factor: 5.13,Cited by: 4  Impact Factor: 2.685
RSG-10-072-01-TBG,Cited by: 1  Impact Factor: 6.636
RSG-05-028-01,Cited by: 33  Impact Factor: 10.822
PF-04-072-01-TBE,Cited by: 386  Impact Factor: 10.822
RPG-98-177-01-CDD,Cited by: 57  Impact Factor: 10.822
RSG-01-050-01-GMC,Cited by: 103  Impact Factor: 10.822
RSG-10-121-01,Cited by: 9  Impact Factor: -,Cited by: 11  Impact Factor: 7.357
RSG-04-021-01-CCG,Cited by: 79  Impact Factor: 10.822
RSG-10-067-01-TBE,Cited by: 0  Impact Factor: 2.927,Cited by: 28  Impact Factor: 7.357
RGS-12-059-01-DCC,Cited by: 21  Impact Factor: 38.597
PF-12-135-01-CSM,Cited by: 2  Impact Factor: 10.822
IRG-92-027-14,Cited by: 104  Impact Factor: 5.87
RPG-99-262-01-GMC,Cited by: 25  Impact Factor: 10.822
IRG-92-027-16,Cited by: 23  Impact Factor: 10.822
RSG-01-254-ECG,Cited by: 68  Impact Factor: 10.822
RSG CSM-107144,Cited by: 0  Impact Factor: 2.464
PF-04-103-01-CSM,Cited by: 38  Impact Factor: 10.822
RSG-03-245-01-CSM,Cited by: 89  Impact Factor: 10.822
RPG-99-173-01,Cited by: 123  Impact Factor: 3.02,Cited by: 132  Impact Factor: 8.278,Cited by: 121  Impact Factor: 8.278
RPG-97-134-01-MBC,Cited by: 104  Impact Factor: 13.214
RSGT-01-024-04-CPHPS,Cited by: 68  Impact Factor: 5.082,Cited by: 21  Impact Factor: 5.082
RSG-05-158-01-TBE,Cited by: 86  Impact Factor: 10.822
RSG-08-293-01-CCG,Cited by: 4  Impact Factor: 7.357
IRG 58-005-40,Cited by: 80  Impact Factor: 5.87
IRG-98-275-01,Cited by: 56  Impact Factor: 2.13
RSG-03-048-01,Cited by: 68  Impact Factor: 10.822,Cited by: 24  Impact Factor: 10.822,Cited by: 16  Impact Factor: 10.822
RPG-00-110-01-MGO,Cited by: 87  Impact Factor: 10.822,Cited by: 73  Impact Factor: 10.822
DB-89A,Cited by: 77  Impact Factor: 10.822
RSG-0813301CDD,Cited by: 4  Impact Factor: 2.881
IRG-58-009-50-MRF,Cited by: 11  Impact Factor: 3.961
RPG99-211-01-MBC,Cited by: 163  Impact Factor: 10.822
RSG-09-058-01-GMC,Cited by: 1  Impact Factor: 14.103
RPG-99-233-01-CIM,Cited by: 163  Impact Factor: 10.822
IRG-78-002-33,Cited by: 2  Impact Factor: 12.062
IRG-78-002-30,Cited by: 14  Impact Factor: 10.822,Cited by: 35  Impact Factor: 11.902,Cited by: 32  Impact Factor: 7.357
RPG-98-183-01,Cited by: 65  Impact Factor: 2.61
PF-00-017-01-LBC,Cited by: 443  Impact Factor: 13.214
PF-12-129-01-CCG,Cited by: 2  Impact Factor: -
RSG-08-187-01-LIB,Cited by: 11  Impact Factor: 3.925
RSG-11-266-01-CCE,Cited by: 1  Impact Factor: -,Cited by: 13  Impact Factor: -
RPG-99-180-0,Cited by: 187  Impact Factor: 10.822
PF-07-264-01,Cited by: 151  Impact Factor: -
PF-07-103-01-CSM,Cited by: 2  Impact Factor: 1.19,Cited by: 27  Impact Factor: 10.822
RSG-01-221-01-PBP,Cited by: 2  Impact Factor: -
IRG-73-001-31,Cited by: 22  Impact Factor: 3.02
RSG-99-081-01-LIB,Cited by: 17  Impact Factor: -,Cited by: 13  Impact Factor: 3.33
RSG-CCG-122517,Cited by: 0  Impact Factor: -
PF-09-018-01-CNE,Cited by: 17  Impact Factor: 10.015
RSG-08-042-01-DDC,Cited by: 5  Impact Factor: -
IRG-58-010-50,Cited by: 0  Impact Factor: 2.606,Cited by: 26  Impact Factor: 2.81
IRG-58-010-52,Cited by: 168  Impact Factor: 38.597
PF-08-166-01-GMC,Cited by: 7  Impact Factor: 2.234
CCCDA-10-084-01,Cited by: 1  Impact Factor: -
