articles.A-B,Adv_Prev_Med,Adv_Prev_Med_2011_Jun_8_2011_281863.nxml,Vitamin D  Sunlight and Prostate Cancer Risk,advances in preventive medicine,RSG-09-175-01-CCE,14,Vitamin D  Sunlight and Prostate Cancer Risk
articles.A-B,BMC_Dev_Biol,BMC_Dev_Biol_2005_Jul_20_5_14.nxml,A genome-wide in situ hybridization map of RNA-binding proteins reveals anatomically restricted expression in the developing mouse brain,bmc developmental biology,PF-02-128-01-MBC,100,A genome-wide in situ hybridization map of RNA-binding proteins reveals anatomically restricted expression in the developing mouse brain
articles.A-B,BMC_Dev_Biol,BMC_Dev_Biol_2009_Apr_21_9_28.nxml,O-GlcNAc modifications regulate cell survival and epiboly during zebrafish development,bmc developmental biology,RSG-DDC-112979,38,O-GlcNAc modifications regulate cell survival and epiboly during zebrafish development
articles.A-B,BMC_Dev_Biol,BMC_Dev_Biol_2007_Aug_20_7_97.nxml,A highly conserved regulatory element controls hematopoietic expression of GATA-2 in zebrafish,bmc developmental biology,RSG-99-081-04-LIB,8,A highly conserved regulatory element controls hematopoietic expression of GATA-2 in zebrafish
articles.A-B,Biol_Proced_Online,Biol_Proced_Online_2005_Oct_17_7_144-161.nxml,Use of three-dimensional collagen gels to study mechanotransduction in T47D breast epithelial cells,biological procedures online,RPG-00-339,52,Use of three-dimensional collagen gels to study mechanotransduction in T47D breast epithelial cells
articles.A-B,Breast_Cancer_Res_Treat,Breast_Cancer_Res_Treat_2013_Apr_22_138(2)_549-559.nxml,Postpartum diagnosis demonstrates a high risk for metastasis and merits an expanded definition of pregnancy-associated breast cancer,breast cancer research and treatment,PF-08-257-01-CSM,12,Postpartum diagnosis demonstrates a high risk for metastasis and merits an expanded definition of pregnancy-associated breast cancer
articles.A-B,Behav_Genet,Behav_Genet_2014_May_15_44_295-313.nxml,Harmonization of Neuroticism and Extraversion phenotypes across inventories and cohorts in the Genetics of Personality Consortium: an application of Item Response Theory,behavior genetics,IRG-58-010-50,0,…  Neuroticism and Extraversion phenotypes across inventories and cohorts in the Genetics of Personality Consortium: an application of Item Response Theory
articles.A-B,Biomed_Opt_Express,Biomed_Opt_Express_2010_Oct_20_1(4)_1188-1195.nxml,Comparison of intensity-modulated continuous-wave lasers with a chirped modulation frequency to pulsed lasers for photoacoustic imaging applications,biomedical optics express,RSG-08-117-01-CCE,13,Comparison of intensity-modulated continuous-wave lasers with a chirped modulation frequency to pulsed lasers for photoacoustic imaging applications
articles.A-B,Biologics,Biologics_2013_Apr_26_7_91-101.nxml,Clinical use of crizotinib for the treatment of non-small cell lung cancer,biologics : targets & therapy,PF-10-239-01-TBG,3,Clinical use of crizotinib for the treatment of non-small cell lung cancer
articles.A-B,BMC_Biotechnol,BMC_Biotechnol_2005_Aug_18_5_22.nxml,A simplified immunoprecipitation method for quantitatively measuring antibody responses in clinical sera samples by using mammalian-produced Renilla luciferase-antigen fusion proteins,bmc biotechnology,CRTG-02-245-01-CCE,46,A simplified immunoprecipitation method for quantitatively measuring antibody responses in clinical sera samples by using mammalian-produced Renilla  …
articles.A-B,BMC_Med_Educ,BMC_Med_Educ_2008_Feb_19_8_9.nxml,Research enrichment: evaluation of structured research in the curriculum for dental medicine students as part of the vertical and horizontal integration of biomedical training and discovery,bmc medical education,ACS-IRG#103719,11,Research enrichment: evaluation of structured research in the curriculum for dental medicine students as part of the vertical and horizontal integration of biomedical training and discovery
articles.A-B,BMC_Fam_Pract,BMC_Fam_Pract_2009_May_29_10_37.nxml,A multilevel intervention to promote colorectal cancer screening among community health center patients: results of a pilot study,bmc family practice,MRSGT-05-007-01-CPPB,39,A multilevel intervention to promote colorectal cancer screening among community health center patients: results of a pilot study
articles.A-B,BMC_Fam_Pract,BMC_Fam_Pract_2008_Feb_27_9_15.nxml,Barriers to colorectal cancer screening in community health centers: A qualitative study,bmc family practice,MRSGT-05-007-01-CPPB,70,Barriers to colorectal cancer screening in community health centers: a qualitative study
articles.A-B,BMC_Fam_Pract,BMC_Fam_Pract_2008_Sep_3_9_49.nxml,Discussions about preventive services: a qualitative study,bmc family practice,MRSGT-05-007-01-CPPB,7,Discussions about preventive services: a qualitative study
articles.A-B,BMC_Fam_Pract,BMC_Fam_Pract_2006_Feb_11_7_9.nxml,Older adults' beliefs about physician-estimated life expectancy: a cross-sectional survey,bmc family practice,CCCDA-00-180-01,13,Older adults' beliefs about physician-estimated life expectancy: a cross-sectional survey
articles.A-B,BMC_Fam_Pract,BMC_Fam_Pract_2007_Mar_30_8_16.nxml,The effect of health literacy on knowledge and receipt of colorectal cancer screening: a survey study,bmc family practice,CCCDA-05-162-01,70,The effect of health literacy on knowledge and receipt of colorectal cancer screening: a survey study
articles.A-B,Angiogenesis,Angiogenesis_2008_Jun_22_11(2)_109-119.nxml,Vascular permeability  vascular hyperpermeability and angiogenesis,angiogenesis,RSG-05-118-01-CSM,223,Vascular permeability  vascular hyperpermeability and angiogenesis
articles.A-B,BMC_Mol_Biol,BMC_Mol_Biol_2006_Nov_28_7_43.nxml,DNA unwinding assay using streptavidin-bound oligonucleotides,bmc molecular biology,RSG-04-050-01-GMC,6,DNA unwinding assay using streptavidin-bound oligonucleotides
articles.A-B,BMC_Mol_Biol,BMC_Mol_Biol_2006_Feb_17_7_6.nxml,Length-dependent degradation of single-stranded 3' ends by the Werner syndrome protein (WRN): implications for spatial orientation and coordinated 3' to 5' movement of its ATPase/helicase and exonuclease domains,bmc molecular biology,#85-001-13-IRG,22,Length-dependent degradation of single-stranded 3' ends by the Werner syndrome protein (WRN): implications for spatial orientation and coordinated 3' to 5' movement of its ATPase/helicase and exonuclease domains
articles.A-B,BMC_Mol_Biol,BMC_Mol_Biol_2009_Mar_27_10_27.nxml,Functional characterization and identification of mouse Rad51d splice variants,bmc molecular biology,RSG-030158-01-GMC,3,Functional characterization and identification of mouse Rad51d splice variants
articles.A-B,BMC_Chem_Biol,BMC_Chem_Biol_2007_Jul_3_7_2.nxml,Enhancement of intracellular -tocopherol levels in cytokine-stimulated C3H 10T1/2 fibroblasts: relation to NO synthesis  isoprostane formation  and tocopherol oxidation,bmc chemical biology,CN-158,12,Enhancement of intracellular -tocopherol levels in cytokine-stimulated C3H 10T1/2 fibroblasts: relation to NO synthesis  isoprostane formation  and tocopherol oxidation
articles.A-B,Breast_Cancer_(Auckl),Breast_Cancer_(Auckl)_2011_Feb_15_5_15-25.nxml,Validation of Stereophotogrammetry of the Human Torso,breast cancer : basic and clinical research,RSGPB-09-157-01-CPPB,4,Validation of stereophotogrammetry of the Human Torso
articles.A-B,Breast_Cancer_(Auckl),Breast_Cancer_(Auckl)_2011_Jun_9_5_131-142.nxml,3D Symmetry Measure Invariant to Subject Pose During Image Acquisition,breast cancer : basic and clinical research,RSGPB-09-157-01-CPPB,2,3D symmetry measure invariant to subject pose during image acquisition
