RSGGMC-112251,articles.I-N\Nat_Chem_Biol\Nat_Chem_Biol_2009_Feb_4_5(2)_100-107.nxml,Small molecule-mediated disruption of Wnt-dependent signaling in tissue regeneration and cancer,nature chemical biology,"Chen, Baozhi & Dodge, Michael E. & Tang, Wei & Lu, Jianming & Ma, Zhiqiang & Fan, Chih-Wei & Wei, Shuguang & Hao, Wayne & Kilgore, Jessica & Williams, Noelle S. & Roth, Michael G. & Amatruda, James F. & Chen, Chuo & Lum, Lawrence",422
RSGGMC-112251,articles.I-N\Nat_Med\Nat_Med_2013_Nov_29_19(11)_1505-1512.nxml,Activation of Hedgehog signaling by loss of GNAS causes heterotopic ossification,nature medicine,"Regard, Jean B. & Malhotra, Deepti & Gvozdenovic-Jeremic, Jelena & Josey, Michelle & Chen, Min & Weinstein, Lee S. & Lu, Jianming & Shore, Eileen M. & Kaplan, Frederick S. & Yang, Yingzi",
IRG 97-152-11,articles.A-B\Br_J_Cancer\Br_J_Cancer_2005_Apr_25_92(8)_1581-1587.nxml,Gastrin stabilises  -catenin protein in mouse colorectal cancer cells,british journal of cancer,"Song, D H & Kaufman, J C & Borodyansky, L & Albanese, C & Pestell, R G & Wolfe, M Michael",11
RSG-09-045-01-DDC,articles.I-N\Nat_Immunol\Nat_Immunol_2012_Mar_11_13(4)_405-411.nxml,Molecular mechanisms that control the expression and activity of Bcl-6 in T H 1 cells to regulate flexibility with a T FH -like gene profile,nature immunology,"Oestreich, Kenneth J. & Mohn, Sarah E. & Weinmann, Amy S.",69
RSG-09-045-01-DDC,articles.I-N\J_Exp_Med\J_Exp_Med_2011_May_9_208(5)_1001-1013.nxml,The lineage-defining factors T-bet and Bcl-6 collaborate to regulate Th1 gene expression patterns T-bet and Bcl-6 cooperate to repress transcription,the journal of experimental medicine,"Oestreich, Kenneth J. & Huang, Albert C. & Weinmann, Amy S.",48
PF-10-134-01-CCG,articles.I-N\Nat_Methods\Nat_Methods_2012_Mar_4_9(4)_379-384.nxml,TULIPs: Tunable  light-controlled interacting protein tags for cell biology,nature methods,"Strickland, Devin & Lin, Yuan & Wagner, Elizabeth & Hope, C. Matthew & Zayner, Josiah & Antoniou, Chloe & Sosnick, Tobin R. & Weiss, Eric L. & Glotzer, Michael",46
PF-10-134-01-CCG,articles.I-N\Nat_Methods\Nat_Methods_2010_Aug_20_7(8)_623-626.nxml,Rationally improving LOV domainbased photoswitches,nature methods,"Strickland, Devin & Yao, Xiaolan & Gawlak, Grzegorz & Rosen, Michael K. & Gardner, Kevin H. & Sosnick, Tobin R.",
PF-10-134-01-CCG,articles.I-N\J_Cell_Biol\J_Cell_Biol_2000_Jun_26_149(7)_1391-1404.nxml,Cyk 4 A Rho Family Gtpase Activating Protein (Gap) Required for Central Spindle Formation and Cytokinesis,the journal of cell biology,"Jantsch-Plunger, Verena & G&#x000f6;nczy, Pierre & Romano, Alper & Schnabel, Heinke & Hamill, Danielle & Schnabel, Ralf & Hyman, Anthony A. & Glotzer, Michael",
RSG-03-048-01,articles.I-N\J_Cell_Biol\J_Cell_Biol_2005_Nov_7_171(3)_437-445.nxml,Centrobin a novel daughter centrioleassociated protein that is required for centriole duplication,the journal of cell biology,"Zou, Chaozhong & Li, Jun & Bai, Yujie & Gunning, William T. & Wazer, David E. & Band, Vimla & Gao, Qingshen",68
RSG-03-048-01,articles.I-N\J_Cell_Biol\J_Cell_Biol_2008_Oct_20_183(2)_267-277.nxml,The HECT E3 ligase Smurf2 is required for Mad2-dependent spindle assembly checkpoint,the journal of cell biology,"Osmundson, Evan C. & Ray, Dipankar & Moore, Finola E. & Gao, Qingshen & Thomsen, Gerald H. & Kiyokawa, Hiroaki",24
RSG-03-048-01,articles.I-N\J_Cell_Biol\J_Cell_Biol_2011_May_16_193(4)_711-725.nxml,Centrobintubulin interaction is required for centriole elongation and stability Centrobintubulin binding in centriole duplication,the journal of cell biology,"Gudi, Radhika & Zou, Chaozhong & Li, Jun & Gao, Qingshen",16
RSG-03-048-01,articles.C-H\Diabetes\Diabetes_2012_Jan_12_61(1)_217-228.nxml,Sirtuin 1Mediated Cellular Metabolic Memory of High Glucose Via the LKB1/AMPK/ROS Pathway and Therapeutic Effects of Metformin,diabetes,"Zheng, Zhi & Chen, Haibing & Li, Jun & Li, Tao & Zheng, Bingqing & Zheng, Ying & Jin, Huiyi & He, Ying & Gu, Qing & Xu, Xun",
RSG-03-048-01,articles.I-N\J_Biol_Chem\J_Biol_Chem_2011_Jan_7_286(1)_620-633.nxml,Negative Regulation of EGFR Vav2 Signaling Axis by Cbl Ubiquitin Ligase Controls EGF Receptor mediated Epithelial Cell Adherens Junction Dynamics and Cell Migration * Cbl Regulates AJs by Attenuating Vav2 Signaling,the journal of biological chemistry,"Duan, Lei & Raja, Srikumar M. & Chen, Gengsheng & Virmani, Sumeet & Williams, Stetson H. & Clubb, Robert J. & Mukhopadhyay, Chandrani & Rainey, Mark A. & Ying, Guoguang & Dimri, Manjari & Chen, Jing & Reddi, Alagarsamy L. & Naramura, Mayumi & Band, Vimla & Band, Hamid",
RSG-03-048-01,articles.C-H\Drug_Des_Devel_Ther\Drug_Des_Devel_Ther_2014_Mar_17_8_315-323.nxml,Genistein suppresses tumor necrosis factor  induced inflammation via modulating reactive oxygen species/Akt/nuclear factor B and adenosine monophosphate activated protein kinase signal pathways in human synoviocyte MH7A cells,"drug design, development and therapy","Li, Jinchao & Li, Jun & Yue, Ye & Hu, Yiping & Cheng, Wenxiang & Liu, Ruoxi & Pan, Xiaohua & Zhang, Peng",
RSG-03-048-01,articles.I-N\Int_J_Med_Sci\Int_J_Med_Sci_2013_Dec_21_11(1)_65-79.nxml,Human Hepatic Progenitor Cells Express Hematopoietic Cell Markers CD45 and CD109,international journal of medical sciences,"Li, Jun & Xin, Jiaojiao & Zhang, Liyuan & Wu, Jian & Jiang, Longyan & Zhou, Qian & Li, Jun & Guo, Jing & Cao, Hongcui & Li, Lanjuan",
RSG-03-048-01,articles.I-N\Int_J_Biol_Sci\Int_J_Biol_Sci_2011_May_5_7(5)_567-574.nxml,miR 148a Promoted Cell Proliferation by Targeting p27 in Gastric Cancer Cells,international journal of biological sciences,"Guo, Shui-Long & Peng, Zheng & Yang, Xue & Fan, Kai-Ji & Ye, Hui & Li, Zhen-Hua & Wang, Yan & Xu, Xiao-Li & Li, Jun & Wang, You-Liang & Teng, Yan & Yang, Xiao",
RSG-03-048-01,articles.O-Z\Virol_J\Virol_J_2007_Apr_2_4_36.nxml,Infection of hepatitis B virus in extrahepatic endothelial tissues mediated by endothelial progenitor cells,virology journal,"Rong, Qifei & Huang, Jun & Su, Enben & Li, Jun & Li, Jianyong & Zhang, Lili & Cao, Kejiang",
RSG-03-048-01,articles.C-H\Evid_Based_Complement_Alternat_Med\Evid_Based_Complement_Alternat_Med_2011_Jun_18_2011_307548.nxml,"A Chinese Herbal Decoction, Danggui Buxue Tang, Stimulates Proliferation, Differentiation and Gene Expression of Cultured Osteosarcoma Cells: Genomic Approach to Reveal Specific Gene Activation",evidence-based complementary and alternative medicine : ecam,"Choi, Roy C. Y. & Gao, Qiu T. & Cheung, Anna W. H. & Zhu, Judy T. T. & Lau, Faye T. C. & Li, Jun & Li, Winnie Z. M. & Chu, Glanice K. Y. & Duan, Ran & Cheung, Jerry K. H. & Ding, An W. & Zhao, Kui J. & Dong, Tina T. X. & Tsim, Karl W. K.",
