ACS Chemical Biology,5.442
ACS Nano,12.062
Acta Crystallographica Section D: Biological Crystallography,14.103
Advances in Hematology,-
advances in preventive medicine,-
Advances in Urology,-
Aging (Albany NY),-
angiogenesis,3.972
Archives of Drug Information,-
autophagy,12.042
Behavior Genetics,2.606
biological procedures online,2
Biologics : Targets & Therapy,-
Biology Open,-
BioMed Research International,-
biomedical optics express,3.176
Biomolecules,-
BMC Biochemistry,1.776
BMC Bioinformatics,3.02
BMC Biotechnology,2.17
BMC Cancer,3.33
BMC Cell Biology,2.81
bmc chemical biology,2
BMC Complementary and Alternative Medicine,2.08
BMC Developmental Biology,2.73
BMC Family Practice,1.61
BMC Genetics,2.81
BMC Genomics,4.4
bmc health services research,1.66
BMC Immunology,2.61
bmc medical education,1.41
BMC Medical Informatics and Decision Making,1.6
bmc medicine,6.68
BMC Microbiology,3.1
BMC Molecular Biology,2.8
BMC Physiology,2.13
BMC Public Health,2.08
Breast Cancer : Basic and Clinical Research,-
Breast Cancer Research,5.87
Breast Cancer Research : BCR,5.87
breast cancer research and treatment,4.469
British Journal of Cancer,5.082
british journal of haematology,4.9427
cancer causes & control,3.2
Cancer Gene Therapy,2.945
cancer immunology  immunotherapy,3.637
Cancer Metastasis Reviews,-
Cancer Microenvironment,-
Cancers,-
Immunology and cell biology,3.925
International Journal of Biological Sciences,2.699
International Journal of Biomedical Imaging,-
International Journal of Cell Biology,-
International Journal of Circumpolar Health,1.303
International Journal of Hepatology,-
International Journal of Molecular Sciences,2.464
International Journal of Nanomedicine,3.463
International Journal of Oncology,2.234
ISRN Obstetrics and Gynecology,-
jak-stat,3.35
journal of biomedical optics,2.881
Journal of Biomedicine and Biotechnology,2.88
Journal of Bone and Mineral Research,6.128
Journal of Cancer Epidemiology,-
Journal of Cancer Survivorship,3.57
Journal of Community Health,-
Journal of General Internal Medicine,2.761
Journal of gerontology & geriatric research,-
Journal of Mammary Gland Biology and Neoplasia,7.524
Journal of Medical Internet Research,4.663
Journal of Neuro-Oncology,3.115
Journal of Nucleic Acids,-
journal of ocular biology diseases and informatics,-
Journal of Oncology,-
Journal of Translational Medicine,3.46
Journal of Visualized Experiments : JoVE,1.19
Laboratory investigation a journal of technical methods and pathology,3.961
Langmuir,4.187
Leukemia Research Reports,-
Mammalian Genome,2.714
mBio,5.621
Molecular Biology and Evolution,10.353
Molecular Biology of the Cell,4.604
Molecular Cancer,5.13
molecular cell,15.28
Molecular Systems Biology,11.34
Nature,38.597
Nature cell biology,20.767
Nature Cell Biology,20.767
Nature chemical biology,12.948
Nature chemistry,21.757
Nature Communications,10.015
Nature genetics,35.209
Nature immunology,26.199
Nature medicine,24.302
Nature methods,23.565
Nature neuroscience,15.251
Nature structural & molecular biology,11.902
Nuclear Receptor Signaling,-
Nucleic Acids Research,8.278
Nucleus,-
nursing research and practice,-
Nutrition Journal,2.65
Obesity (Silver Spring  Md.),3.92
Obstetrics and Gynecology International,1.836
Oncogene,7.357
Oncogenesis,-
Oncoimmunology,-
Oncotarget,6.636
Organic Letters,6.142
oxidative medicine and cellular longevity,3.393
Patient Related Outcome Measures,-
Pharmaceutics,-
Philosophical Transactions of the Royal Society B: Biological Sciences,6.23
Pigment Cell & Melanoma Research,5.839
plos biology,12.69
plos medicine,15.253
plos pathogens,8.136
PPAR Research,2.685
Preventing Chronic Disease,1.585
Prostate Cancer,2.062
Prostate cancer and prostatic diseases,2.811
reproductive biology and endocrinology : rb&e,2.14
Scientific Reports,2.927
Small GTPases,-
SpringerPlus,-
Stem Cells (Dayton  Ohio),7.701
structure(london  england:1993),6.337
The Application of Clinical Genetics,-
the international journal of behavioral nutrition and physical activity,3.58
The Journal of Cell Biology,10.822
The Journal of Experimental Medicine,13.214
The Journal of General Physiology,4.73
The Journal of General Virology,3.363
The Journal of investigative dermatology,6.193
Theranostics,7.806
Translational Oncogenomics,-
Tumour Biology,2.518
Virology Journal,2.09
Viruses,2.509
